,Topic,Count,Name,Representation,Representative_Docs
33,32,39,32_bad_came_expectations_tasted,"['bad', 'came', 'expectations', 'tasted', 'asked', 'waiter', 'sum', 'ordered', 'dim', 'high']","['like giving bad reviews small locally owned businesses room improvement think probably best post hope information improve ate friends dishes good dish entirely inedible california burrito ordered tortilla handmade tortilla small rice beans inside ingredients overpowered sauce spices water tasted metallic dining mates agreed tasted bad luckily sent taken person table ordered tofu sandwich fairly bland served stale roll pricey toppings added better sandwich tasty half price person ordered eggplant bacon sandwich salty ended scraping eggplant bacon final person really liked vegan crepe maybe avenue cup focus crepes crepe came minutes served dishes eating bit awkward', 'read reviews decided try new spot dim sum fix ordered usual dishes like steamed spareribs harkow steam shrimp dumplings pork steam buns coconut pudding crab wonton soup coconut pudding dim sum overall pretty bad harkow shrimp dry flavorless like microwaved frozen steamed spareribs fat pork buns dried pork way cooked like sitting heat lamp fresh weird im pm sunday wonton soup pretty good ordered crab wonton soup close guess ate broth clear flavorful maybe place better vietnamese pho dishes came dim sum service good friendly attentive servers despite couple tvs distract employees table wanted place pretty big inside large tables round robins condiments dirty dustycobwebbed decorations maybe little tv little cleaning restaurant wish rate higher thing liked item got wrong maybe youre gon na try place let order wouldnt come dim sum china yuan minutes east', 'went pho bistro attending ucsb honestly like good review lack consistency restaurant im gon na ahead stars posting review graduated dec happened draft review forgot post dont like pho strong cinnamony taste reason really like grilled pork vermicelli passionfruit juice good days times problem order example fish sauce vermicelli tasted expired times ive probably ordered like times lol passionfruit juice good definitely hit miss depending day times passionfruit juice tastes like gone bad usually like juice bad days tastes bit like alcohol little carbonated probably means gone bad try ask little sample order check quality drink day boss argue theres wrong make things fresh day im pretty sure somethings wrong doesnt taste like usually workers used work sunny super friendly nice']"
34,33,39,33_santa_barbara_topa_patio,"['santa', 'barbara', 'topa', 'patio', 'beach', 'lovely', 'great', 'clam', 'places', 'downtown']","['delicious food looking mexican food santa barbara make sure try melted cheese chorizo super good', 'wonderful bocci ball fun gnocchi exactly wanted special request thank wait come born raised santa barbara place true santa barbara gem', 'way priced poor service places santa barbara waste evening']"
35,34,38,34_croissant_ice_cream_croissants,"['croissant', 'ice', 'cream', 'croissants', 'cone', 'pastries', 'flavors', 'chocolate', 'coffee', 'french']","['yum got smores ice cream waffle cone delicious flavors want try', 'best patisseries ive outside france plain croissant almondstudded pain au chocolat pastries choices delicious renauds loreto plaza state street las positas shares parking businesses gelsens chaucers theres plenty spots bakery menu consists muffins macarons cookies quiches chocolates cakes pies petit gâteaus meringues breads packaged sweets drink selection extensive serving various cold beverages coffees bistro menu youre planning stay breakfast lunch omelettes croque madame yelpers expressed disappointment food echo sentiment sandwiches tend hit miss ive inconsistent experiences convinced best brunch croissants consistently solid renauds almond croissant generously encrusted dont skimp filling recent visit opted regular croissant amazing outer layer beautifully golden inner layers perfectly buttery flakey puffy', 'croissants coffee staple mental routine years croissants french pastries best restaurants coffee houses world discovering renauds patisserie santa barbara add french food list gastronomic perfections home town menu fantastic personal favorite pain aux raisins features golden california raisins soaked rum coffee good feature peerless roasted coffees finest coffee growing regions world say food compare early daily supply quick run']"
36,35,38,35_ramen_broth_noodles_spicy,"['ramen', 'broth', 'noodles', 'spicy', 'pork', 'miso', 'egg', 'gyoza', 'bowl', 'charshu']","['craving ramen today decided check place walked seated shortly love simple menu easy read decided spicy tonkatsu ramen usual order ramen places food came amazed big bowl portion good price ramen broth delicious spicy used meat chewy egg cooked delicious servers nice definitely come', 'delicious best ramen ive flavor service great wait', 'yuzen ramen best close edmonton use open saturday lunch ramen visit week open ramen wed sun ramen huge selection different style ramen including noodles got traditional tonkatsu creamy pork kara age bowl ramen decent price compared lot ramen restaurants edmonton broth perfect noodle right texture highly recommend area lunch']"
37,36,35,36_gluten_free_glutenfree_options,"['gluten', 'free', 'glutenfree', 'options', 'vegan', 'jackfruit', 'arugula', 'highly', 'great', 'brussel']","['delicious interesting menu variety choices veg vegan meaty gluten free fresh veggies delicious sauces party seven taken care caipirinhas rico pulled pork great daughter got vegan version gluten free happy', 'time lunch extensive flavorful gluten free menu good lunch friendly service', 'hostess server walnut grill terribly rude left went longhorn amazing morgan bartender busy attentive jeff manager came asked answered questions gluten free options great suggestions gluten free appetizers gluten free stuffed mushrooms excited havent stuffed mushrooms years']"
38,37,33,37_staff_friendly_service_great,"['staff', 'friendly', 'service', 'great', 'mandoo', 'food', 'veterans', 'members', 'fresh', 'knowledgeable']","['good think best restaurant service staff sweet knowledgeable accommodating food great tell ingredients fresh', 'def tell food fresh chef cares food management cares service really appreciate mandoo seafood pajeon starters mandoo good bibimbap soondubu jigae good exemplary overall good place good food', 'absolutely fantastic staff friendly food fresh wait time fast']"
39,38,32,38_hotel_room_rooms_stay,"['hotel', 'room', 'rooms', 'stay', 'stayed', 'beds', 'location', 'comfortable', 'area', 'weekend']","['great stay grand hyatt long weekend checkin quick easy greeted entrance bellhops staff extremely friendly hotel newly renovated modern style looked ikea room pool areas nice oystercatchers pool better view hike main hotel area taken car hotel shuttles enjoyed walking boardwalk nature area didnt eat hotel drinks lobby bar prices hotel high expected service good true really nonchain restaurant options nearby hotel catering primarily business travelers weddings taking place overall great stay disappointed drove clearwater saw hotels main street courtney campbell think cute manmade beaches sandy areas preferred ended going ben city beach road', 'time philly glad stayed hotel checkin breeze beautiful room reasonably priced friendly staff close room spacious clean comfortable different sitting areas lobby area nice hotel heart downtown walking distance location better metro train bus good restaurantsthe reading terminal market right corner city hall dilworth park minute walk hotel hotel connected philadelphia convention center step outside attending event hour days week fedex kinkos inside hotel great amenities accommodating staff easy access enjoy stay definitely walkabout explore area loads lovely food market steps reach pub crawling shopping sightseeing type covered make marriot downtown philadelphia spot solid stars', 'stayed hotel nights prior cruise extremely convenient cruise terminal walking distance loved location hotel easy access river mall french quarter bourbon street trolley located right outside hotel huge good restaurant dragos restaurant hotel good nice bar area stayed building pool viewwhich functioning construction wouldve nice share information staff hotel restaurant great rico bar area fantastic room clean good condition bathroom grouting needed redone shower room quiet heard neighboring rooms expect walk hotel lot size stay']"
40,39,31,39_wings_wing_rings_blue,"['wings', 'wing', 'rings', 'blue', 'hot', 'undercooked', 'like', 'sauce', 'bonein', 'love']","['honey hot wings good honey hot wings seating limited taste wings makes worth wait', 'love wings lemon pepper wings fries good love coming', 'wings wings wings favorite wing place remember flavor wings need ask best seller salad great normally mix french ranch pizza great got ta try bbq pizza']"
41,40,31,40_greek_gyro_gyros_pita,"['greek', 'gyro', 'gyros', 'pita', 'salad', 'opa', 'hummus', 'mediterranean', 'falafel', 'grille']","['little greek exceeded expectations new favorite nearby greek place tell place closer marinated grilled chicken salad oh god best husband hummus time yay got really like loved crunchy pita triangles gyros course yummy tzatziki taste oh god better tasted chicken shish ka bababs love straight grill taste glad got chance try yummy healthy fresh greek food great job bought groupon trip', 'ive eating mediterranean grille opened quiznos shut years ago place somewhat hidden absolutely delicious greek food reasonable prices order staff remembers time visit begin prepare meal walk normally small greek salad includes oilives bell peppers sweet pepper potato salad slices pita small salad big satisfy hunger make hungry minutes doesnt make feel completely stuffed plus normally ask tomatoes substitutions order right mediterranean grille excellent falafel fact ive local greek restaurants clearly serve frozen falafel compare falafel served love flavorful greek food enjoy mediterranean grille limited seating youll food staff service worth coming', 'ive times local ton greek restaurants better greek salad tasteless isnt par gyro meat dry thing decent tzatziki pita bread']"
42,41,30,41_cuban_sandwich_sandwiches_cafe,"['cuban', 'sandwich', 'sandwiches', 'cafe', 'cubano', 'leche', 'place', 'havana', 'noche', 'sheas']","['extra star know loves place im invited odd girl completing dinner party high hats decent cuban sandwich best city thoughts roasted ham turkey properly sliced bone french bread isnt true cuban hollowed pickles tasty pungent swiss cheese flavorless bubbly hot needs yellow mustard damn expensive higher better authentic cuban restaurants florida el siboney cafe versailles sandys average exemplary cuban mix high hats good comfort eateries high prices katys houstons bistreaux amici meals heart', 'yes yes yes props havana dreamers cafe called tampa cuban sandwiches media noche bread pick said min prob thats long takes taking beach got ready picked cuban coffee super easy lots people sunday morning inside outside popular good reason wish cuban coffeesandwich spot walk away home love dreamed key west place awesome seriously best cuban sandwich forever media noche bread enjoy', 'said authentic cuban restaurant frills good food cuban sandwich cafe leche standouts wouldnt bother tried items service generally pretty slow problem overall excellent place cuban fix']"
43,42,30,42_flavor_seafood_salad_shrimp,"['flavor', 'seafood', 'salad', 'shrimp', 'sauce', 'meat', 'platter', 'freaky', 'ok', 'pork']","['got wait minutes server herb best ask wont sorry appetizers fried artichoke hearts shaved parmesan homemade ranch dressing dipping dressing fresh different went market door went kitchen got pint happens perfect fried calamari best weve seasoned fried perfection dont like calamari got ta husband seafood platter flyer store showed picture seafood platter labeled highest point louisiana thats understatement enormous incredible stuffed flounder stuffed crab dressing perfectly sweet spicy flawless house salad baked potato cut freshness flavor weve lived new orleans lives eaten seafood places count deanies far best seafood fried boiled weve experienced ate breathe anymore walked packed containers left lobby jam packed guess knew incredible food convinced thought btw im responsible making crave described trust fast', 'accidentally bumped place looking good dinner date spot night checked menu saw paella remembered looking good paella reno long story short ordered seafood paella got disappointed thought texture rice smooth flavor overall pretty bland tried hot spicy creamy chicken soup ok lukewarm hubby tried gazpacho tasted like salsa ordered tapas lobster puffs ok exciting taste paprika shrimp torpedo cream cheese mind searching shrimp flavor luck scallops pretty good maybe coz overcooked left scallops flavor stand hubby wanted try tapas told gon na taste samebland skipped dessert ordered hot chocolate churros whoa surprise brought favorite spanish restaurant manila chocolate dip decadent far usual commercial chocolate flavor tell raw cacao flavorful sweet finished churros theres chocolate dip left asked churros staff friendly atmosphere good come spanish hot chocolate', 'ordered combo plate kalua pork chicken katsu macaroni salad mixed veggies kalua pork amazing smokey juicy savory oh goodness happily soak meaty bathtub pork isnt gristly fatty sort pulled pork beautiful good worth price platter probably dream flavor tonight revel porkinduced slumber chicken katsu pulled menu dry rubbery totally void flavor im sucker panko bread crumbs kept trying nibbling hopeful id sort redeeming value radically bad compared amazing goodness kalua pork felt different restaurants plate way menu says sauce delivery guy apparently forgot fork napkin sure request youre hotel macaroni salad home run heavy mayoish tasty complimentary pork mixed veggies worth upcharge fresh broccoli peppers carrots steamed butter like mac salad wasnt heavy perfectly steamed delicious bravo soak bathtub probably kind odd measure food really overall definitely worth visit pork avoid chicken katsu']"
44,43,28,43_mac_cheese_ive_cheesy,"['mac', 'cheese', 'ive', 'cheesy', 'best', 'buffalo', 'polenta', 'sriracha', 'bruschetta', 'tried']","['reasonable prices hot chicken salad piece tender mac tots sides excellent mac stood honestly best mac ive highly recommend place', 'fanciest mac cheese ive artery clogging mac cheese ive encountered item sold easily share dish people people food coma finishing halves tell freshness seafood used lobster mac cheese taste lobster enjoyed certain parts mac cheese cooked crisp add different texture dish know restaurant known steaks say mac cheese try loves cheese dishes', 'solid mac cheese little nervous trying specialty mac cheese im little picky cheese sauce wonderful boyfriend tried ritual eat week definitely jalapeño popper mac regular mac basil tomatoes sriracha absolutely worth try mac cheese fan']"
45,44,28,44_birthday_mom_day_chocolate,"['birthday', 'mom', 'day', 'chocolate', 'excellent', 'sister', 'drinks', 'great', 'appetizers', 'dinner']","['great experience friendly service tasty food free meal birthday', 'sister took father coffee cup breakfast today celebrate birthday place packed closed days tremendous flood hit town downingtown hard great food exceptional waitress best ive mentioned dad birthday brought freshly baked chocolate chip cookie literally chocolate chips ive seen life april huge smile face probably best birthday gift impromptu thank coffee cup soon', 'im usually fan chain restaurants admit love maggianos atmosphere great food fantastic times visited family birthday wednesday evening staff amazing prompt really attentive sprinkled birthday confetti table got noted birthday reservation tried make daughter feel special birthday dinner food awesome incredibly filling huge portion sizes plus pasta home really amazing deal food']"
46,45,26,45_bartender_bar_bartenders_drink,"['bartender', 'bar', 'bartenders', 'drink', 'shots', 'oakheart', 'money', 'told', 'act', 'service']","['bartenders extremely rude night screamed walk standing near computer servers use bartender gestured group told rudely leave thought order drink position planning leaving right ordering drink bartender started screaming youre standing asking drink told leave im going mcgillens saw huge cockroach concrete ledge running alongside building', 'absolutely worst bartender experiences ordered grey goose martini bar prior dinner bartender poured vodka thats allno vermouth olive juice shaker poured glass chilled handed check astounded place ritzy cesar comparison makes proper martini huge glass showed astonishment bartender inquired dismayed said said owners informing owners make drink basically said price issue unacceptable service recommendation owners charging upscale prices employees actually pride work courtesy guests left dinner think return', 'good experience bartenders nice tell fake like genuine people feel welcome appreciated drinks shots ive served unsatisfactory specific time think bar couple friends drink shot bartender told friend paid took money watched pocket instead putting register stealing bar customers wont going best friend business owner stuff like pisses']"
47,46,25,46_smoothie_smoothies_juices_juice,"['smoothie', 'smoothies', 'juices', 'juice', 'fresh', 'slim', 'healthy', 'slushees', 'jamba', 'goods']","['dont photos share energy spot confused assumed based photosreviews smoothie shop evidently isnt require set form account buy smoothie doesnt cost hastle smoothies apparently meal replacement shakes fine clear walking staff friendly dont usually want minute explanation order smoothie product better shakesmoothie chalky virtue menu style forced form non alcoholic shot tasted like bad kool aid establishment gets stars product decent lead believe id walked looking meal replacement shake great place youre looking smoothie look', 'djuice new favorite spot ive looking place green juices smoothies near work outside larger chains place walked djuices pleasantly greeted smell fresh baked goods smiling faces mentioned new customer instantly presented run works ingredients drinks options settled time favorite smoothie banana strawberry went way happy know taste smoothie matched excellent service definitely coming recommend enjoys smoothies baked goods check place', 'revising previous review recent trip source juicery definite experience vibe welcoming informative prior visit juices delicious options look daily board glad stopped stocked great concept premier raw juice location pros extremely clean salads yummy great variety food glass containers cons lot smoothies apple juice base simply apple brand yogurt protein added smoothies bit concerning organic dairy employees attitudes hit miss overall recommend stopping salad juices fresh order leave smoothie drinks cooler']"
48,47,25,47_korean_bbq_bowl_campus,"['korean', 'bbq', 'bowl', 'campus', 'kalbi', 'grill', 'rice', 'bulgogi', 'tofu', 'place']","['interesting combination korean barbeque quick stop grill restaurant diner styled aligned typical korean hospitality lack thereof dont expect warm welcome shouldnt korean restaurant coming chicago im used wide choice korean restaurants ive moved st louis havent really chance check ucity grill efficient pretty standard fare seasoning beef bulgogi pretty standard bowl went fresh vegetables brought nice crisp crunch bite ucity higher rating used typical lack korean customer service customer asked meats cook managerowner started cooking asked said late thats said proceeded customer understand need efficiency obviously come overall good food probably need make sure understands order let', 'korean bbq close want place food subpar maybe worse expectations actual korean bbq', 'maybe frequent diner korean cuisine place like overpriced korean fusion food hip setting honestly dont eat korean food place amazing place clean sleek chicken wings bomb bibimbap item easily accessible center city like regularly eat korean food wing fermented cabbage usually comes free bowl rice veggies stone bowl worth plus place helping korean food mainstream']"
49,48,24,48_bagels_bagel_cream_talias,"['bagels', 'bagel', 'cream', 'talias', 'lox', 'cheese', 'knead', 'coffee', 'nyc', 'freindly']","['definitely nice environment inside quality bagels bagels sandwiches actually really good feel plain bagel quite expensive dollars bagel shops ive noticed butter tastes little strange takes little bit order sum sandwiches meals loose bagels', 'yum yum yummy bagels im disappointed make minute ride city bagels sausage egg cheese garlic aioli living new york couple years id like think know good bagel nyc bagel come pretty darn close comparison bagel spots bagels nice chewy texture compliment order ive creme cheese lox sesame seed bagel good line long weekend morning definitely worth wait knead bagel havent known time ive lived philly definitely place try', 'decent bagel south street bagels dont skimp cream cheese bagels good size fluffy bagel bit salty liking solved knocking flakes philly bagel game south street average bagels better spread good knead']"
50,49,24,49_pita_hummus_falafel_lamb,"['pita', 'hummus', 'falafel', 'lamb', 'gyro', 'fresh', 'kebabs', 'mediterranean', 'baba', 'baklava']","['warm curry cold fresh veggies fantastic combination place cheesy pita pita awesome probably counterparts definitely vegetarian thats fresh produce extreme pita flatbreads filled pitas sandwiches burritos different flavor pita chips mild standard pitas like honey mustard barbecue ranch extreme pita pretty tell flavors mood recommend combination told wanted bold flavors recommended bombay chicken limited edition try especially love spicy indian food garlic cream sauce vindaloo curry sauce flash grill chicken peppers onions right mmmmmmmmm huge pita tax smaller sizes', 'ordered combination platter chicken gyro salad rice hummus meal generous portions chicken seasoned perfectly hummus delicious pita bread fresh best ive salad fresh plenty feta cheese wait stop', 'things got table trio ikra baba ganoush labneh cauliflower hummus chanterelle hummus falafel meh lamb kebab good especially make mini sandwich pita persian rice great slow cooked lamb slow cooked lamb fall bone tender cheesecake cocktails meh wine easy pita lamb kebab cauliflower hummus slow cooked lamb highlights delicious great service']"
51,50,24,50_gem_hidden_place_love,"['gem', 'hidden', 'place', 'love', 'friends', 'truly', 'disappoint', 'judge', 'hope', 'definitely']","['love place coming remember servers friendly remember regular customers food disappointed bbq buns die ive awesome memories friends family place hope goes away definitely hidden gem awesome city', 'place definitely hidden gem family comes area year place new year absolutely loved really hope prices great service good food amazing', 'hidden gem located nondescript strip mall lesson learned judge book cover walk read specials black board cozy warm dining room homecooked meal sandwiches served delicious foccacia ciabatta breads quality ingredients unparalleled source food locally possible strong sense community pervades entire restaurant local artwork walls hand crafted coffee mugs pleasant wait staff customers excited happy workers feel familiar like friends']"
52,51,23,51_reno_meatloaf_carson_tri,"['reno', 'meatloaf', 'carson', 'tri', 'ketchup', 'strada', 'amazing', 'food', 'place', 'la']","['boyfriend came year ago day valentines day snowboard trip tahoe year later think place deserves review craving come reminisce yummy food say ate year ago prefixed menu allowing choose main dishes cooked perfectly right ones palate meal followed perfect pairing complemented servers accommodating recall pricing totally worth im biggest fan reno stay place place definite stopping reno crave coming herei really wish place like live', 'pretty regulars lived reno stopped visit late noticed big change quality food service reno business decided chance craving good meatloaf glad chance salad basic american dinner salad great balsamic italian dressing split pea soup tasty memorable meatloaf came hearty portion mashed potatoes gravy meatloaf tasty hearty portion total dinner tax leftovers eat later hotel happy visit time reno ill', 'reno needed place service awesome food amazing act surprised prices competitive pay great food worth penny wait place best restaurant reno vegan']"
53,52,23,52_donuts_donut_cake_nom,"['donuts', 'donut', 'cake', 'nom', 'king', 'glazed', 'holes', 'dozen', 'bakery', 'taylors']","['donuts alright cool ideeas donuts sugary dk donut voodoo donut instead', 'yum yum donuts hands favorite place donuts area donuts better fluffier dunkin larger variety donuts donut holes breakfast sandwiches decent best yum yum iconic monster donut big kahuna bigger average donut great occasion parties birthdays hungry location great employees friendley professional convientley located corner north broad street route parking big alot traffic entering leaving good news dairy queen door park walk leave entranceexit busy recommend stop location try donuts wrong dozen', 'best donuts pinellas county thats sure love donuts past years donut tower place cake birthday party hit year donut gets eaten order lot look photos tower case want events ps favorite donut french toast donut']"
54,53,23,53_dumplings_soup_noodle_drawn,"['dumplings', 'soup', 'noodle', 'drawn', 'dumpling', 'pork', 'sprouts', 'kims', 'beef', 'marsala']","['loooong line good right soup dumplings absolutely incredible dim sum stuff good probably par places place really worth soup dumplings', 'friend wandering city decided stop ordered brussels sprouts hot lamb dumplings pork soup dumplings shrimp dumplings cheesesteak bao overall food delicious service incredible loved brussels sprouts', 'really good tonight time got fried pork dumplings got beef brisket hand drawn noodle soup boyfriend got duck hand drawn noodle soup definitely different expected heard great things think expected really authentic piping hot soup came dumplings dumplings little greasy good dipping sauce delish watch chili oil hot duck brisket pretty fatty flavor good overall think need knowing expect want try things definitely recommend got byo didnt know']"
55,54,22,54_clean_bathroom_bathrooms_palestinian,"['clean', 'bathroom', 'bathrooms', 'palestinian', 'service', 'visit', 'struggling', 'restaurant', 'slow', 'food']","['crawfish great gumbo thing im puzzled owner money banquet room womens bathroom absolutely disgusting year hanging lamp tables worked eats dark really fix light fixture make bathroom acceptable', 'people say high expectations taco bell right fast food restaurant doesnt mean exempt providing proper customer service location open months slowest taco bell ive seen routinely takes minutes single burrito hesitate order complicated employees actually nice good customer service skills theres surly person ground making food horribly slow service constant issues order management breaking better going vets location eating real food real restaurant', 'nice palestinian restaurant clean inside nice menu board wall palestinian gyro flavorful wish bread wasnt rough chew jaw getting sore chewing bread falafels werent brag werent bad eat em pleased service restaurant cleanliness food']"
56,55,22,55_chicken_sandwich_disappointed_son,"['chicken', 'sandwich', 'disappointed', 'son', 'cold', 'terribly', 'fries', 'sandwiches', 'grubhub', 'wendys']","['ordered food delivery grubhub food arrived min great chicken parm sandwich good roll warm lightly toasted soft kettle chips cheese fries standard disappointed cheesecake bites brownie pieces ill reorder sandwiches chicken fingers', 'son terribly disappointed expecting bite delicious pulled chicken sandwich like ive enjoyed famous daves stand chicken bite terribly wrong bbq sauce way cooked potato salad steak fries candied yams ordinary wasted meals', 'son likes come sunday church complaint wendys order correctly food hot delicious son obsessed grilled chicken sandwiches gets sundays looks forward hes pleased spicy chicken sandwich daughter gets piece nuggets leave satisfied time']"
57,56,21,56_steak_steaks_frites_bar,"['steak', 'steaks', 'frites', 'bar', 'sides', 'negative', 'flip', 'salad', 'birthday', 'good']","['great experience great food reasonable prices steak frites cooked perfectly frites unique wife ahi tuna steak gigantic portions negatives little loud street parking good luck', 'went night fiancés birthday fantastic experience staff friendly food delicious steak wonderful overall negative small negative price sure priciest places bordentown theres level service quality dont larger chain restaurant definitely higher prices anniversary birthday spot highly recommended regardless limited seating reservation strongly recommended', 'wife went mortons night birthday good said portions huge great wedge salad best steak cooked perfection order steak rare medium rare place right sides wonderful service wonderful expect quality restaurant night cost little special occasion worth great night great meal']"
58,57,20,57_brisket_bbq_pulled_pork,"['brisket', 'bbq', 'pulled', 'pork', 'flavor', 'lean', 'dry', 'good', 'macaroni', 'sauce']","['tried brisket recently trip brisket dry tough lacked flavor meals ranged average chopped steak decent bbq porky chicken sides decent best small price overall rating c', 'like star rating decent food brag good things place pulled pork nice flavor actually sweet tea pretty good big red whaaaaa havent north seen south jalapeño sausage best meal bad love brisket thats came brisket didnt tickle tummy way delicious brisket macncheese good', 'ive brisket got say favorite brisket town fatty brisket lean brisket flavorful little charred outside leaving smoky flavor mac n cheese bacon hit corn spoonbread tried great ill sure especially location pythian market']"
59,58,19,58_service_awesome_excellent_server,"['service', 'awesome', 'excellent', 'server', 'food', 'helpful', 'amazing', 'srevice', 'nellie', 'sheila']","['service amazing patty greatest server hospitality unmatched great work team ihop thanks nellie great omelets point', 'went daughters birthday food great service excellent wait thanks great service server excellent', 'gave passed restaurant zillion times night late night happy hour srevice awesome jennifer think food great service awesome place immaculate recommend']"
60,59,19,59_drinks_tacos_salsa_queso,"['drinks', 'tacos', 'salsa', 'queso', 'margarita', 'margaritas', 'nada', 'guacamole', 'fajitas', 'chips']","['ive saint anejo twice times extremely impressed time dined brunch wait really impressive service quick rushed despite guests serve ordered drinks bit pricey dont skimp booze queso dip table queso hands best ive highlights meal included chicken waffles breakfast burrito standard burrito second time visited went half price menu wednesday drinks select half price entrees time opted tacos impressed veggie tacos flavorful great portion size enjoyed habanero margarita self proclaimed margarita snob drink certainly met standards shoutout waitress chanel providing excellent service making needed girls night great overall atmosphere restaurant fun modern certainly future', 'best place patio conversation table neighbors nice addition house margarita good definitely felt buzz rest experience goes downhill location patio gave high expectations chips salsa interesting different salsas roasted medium spice tomato salsa verde salsa non roasted salsa medium heat enjoyed roasted salsa chips ok salty closer chips salsa soggy usually shrimp fajitas today difference hot plate little veggies cut fajitas shrimp cooked big typically number shrimp share people shrimp ordered extra tortillas used plus charged extra lettuce extras usually including fajitas underwhelming disappointing dinner coming', 'theres reason need reservation enjoy hip downtown spot literally menu utterly amazing literally say experience nada dying try funky latin joint dinner friend ahem special friend perfect opportunity experience hip atmosphere nada offers patrons vibe funky bright servers friendly seating cozy date started house margarita subsequently turned total margaritasyes deliciously fresh potent handsqueezed juice right tequila queso best ive chose add pico boy good choice honesty meal deliciously delectable cheesy goodness shared pork belly tacos chicken taco remember specific variety legit needed moment pork belly taco quite literally foodgasm plate absolutely returning nada']"
61,60,19,60_atmosphere_food_chill_syrah,"['atmosphere', 'food', 'chill', 'syrah', 'loudnoisy', 'whine', 'battlebear', 'suspension', 'homely', 'cozychic']","['star fish chips food pretty good atmosphere super crowded wait took forever right ocean really view atmosphere long waits worth', 'fun atmosphere good time food good great recommend service atmosphere', 'great atmosphere delicious food service good']"
62,61,18,61_sur_today_service_kierra,"['sur', 'today', 'service', 'kierra', 'customer', 'wearing', 'har', 'party', 'josh', 'el']","['saturday night busy crowded got table pm prompt service clearlybusy server got food reasonable time great fried clam strips excellent slaw bit generous partner blackened grouper dinner imagination place corporatesilver packed little bags table salad served undressed small unopened tub kens dressing sitting servers wearing black unlike colorful tops used wear lost bit individuality charm remember years told good food reasonably priced good service probably place nice leisurely dinner lot conversation quick meal nice', 'great restaurant great food better shakes went today wife sat kierra bringing drinks called worker help customer walked register turned told serve wearing make america great hat couple days prior im saying weather agree guys steak n shake place denying service customer solely article clothing wearing restaurant place come food political opinions wanted pay mans meal time gotten paid left unprofessional kierra', 'family visiting peddlers village today tried harts tavern buttonwood grill lunchboth waits party husband called porterhouse pub told seat immediately arrival told minutes setting table told party table wanted seat doneas waiting patiently differnt parties people came reservation immediately seated minutes later finally seated upstairs multiple tables accomodate party instead making wait specific table say rest service meal terrible took exorbitant time drinks food check pick check restaurant filled took hours complete lunch say overall food good everone enjoyed soup burgers sandwiches complaint new england clam chowder fishy said percent tip automatically included srvice matter service bad deter eating']"
63,62,16,62_slow_service_half_slowest,"['slow', 'service', 'half', 'slowest', 'lunch', 'hurry', 'minutes', 'food', 'multiples', 'addresses']","['slow service took minutes drinks food pretty warm best', 'food excellent service slow', 'slow slow slow service unusual chickfila times service hope management addresses issue star food good finally']"
64,63,15,63_burger_buis_burgers_expensive,"['burger', 'buis', 'burgers', 'expensive', 'walk', 'sandwich', 'criteria', 'grease', 'boast', 'healthy']","['came walk mall decided grab lunch food court havent johnny rockets times burger sounded really good got bacon cheddar hubs got smokehouse single onion rings coke zero burger fresh look good looks picture burgers great juicy bacon nice crispy yum writing review makes drool lol onion rings crispy soggy breading stayed bit worst onion ring fail breading falls bite perfect staff friendly got line quickly drink refills fyi dont trays youre ordering lot bring help carry napkins ketchup supplied request', 'ive lunch dinner times asked separate waiters recommendations times recommended pulled pork sandwich didnt listen time ordered shrimp po boy sandwich turned decent little light protein filling fully dressed good po boys ive received little mayo wasnt hot warm bit disappointing second time came friends went pulled pork sandwich waiter mentioned pork finished cooking hours upped expectations pulled pork came little bit dry pretty good friend ordered chicken tenders came looking pretty appetizing complaints imagine pretty good food reasonably priced service friendly waiter took great pains make sure satisfied overall ive better food form po boys pulled pork sandwich place offers variety mundane especially vanderbilt campus surrounded subway wendys mellow mushroom chipotle considering dont want walk far food', 'nice healthy fast food option especially food court location times point happy experiences unfortunate food somewhat expensive guess expected healthy restaurant posted picture visit pretty explains reason visit wasnt spectacular large piece plastic wrap salad knife picture tell big really high prices expect things like happen especially fact pretty slow ordered received food wasnt rush plastic wrap covered salad dressing imagine didnt putting chicken dress large piece wasnt like little piece fell didnt complain gotten little busier eating moved ate food salad good amazing happy huge chunk plastic salad small drink husband plain burger small fries small drink order understand healthier options expensive small portions burger blow away fast food steep']"
65,64,15,64_mofongo_app_order_sprite,"['mofongo', 'app', 'order', 'sprite', 'ready', 'payment', 'long', 'ordered', 'phone', 'food']","['food took way long prepared ordered minutes advance food supposed ready pickup instead ready food mediocre better service dont allow person ordersthey make install app place order', 'mofongo oka bit dry service slowand ordered mofongo sprite empanadas got charged bucks friend ordered mofongo sprite coke water bottle empanadas charged wtf stupid ass place', 'ordered carry food phone arrived paid food told wasnt quite ready told min phone arrived time didnt start making food arrived people waiting pretty typical carry containers cheap styrofoam barely kept food warm gen tso pretty good sweet sour cocker overcooked wont ordering takeout china bistro avon better']"
